date,Fridge measurement,Kitchen appliances measurement,Microwave measurement
2012-10-15,0.63,0.14,0.65
2012-10-16,0.58,0.16,0.35
2012-10-17,0.64,0.27,0.7
2012-10-18,0.65,0.17,0.29
2012-10-19,0.63,0.44,0.39
2012-10-20,0.66,0.22,0.24
2012-10-21,0.63,0.13,0.14
2012-10-22,0.67,0.23,0.82
2012-10-23,0.68,0.21,0.29
2012-10-24,0.63,0.19,0.52
2012-10-25,0.19,0.09,0.04
2012-11-07,0.17,0.1,0.06
2012-11-08,0.62,0.27,0.33
2012-11-09,0.61,0.27,0.37
2012-11-10,0.63,0.15,0.29
2012-11-11,0.61,0.57,0.57
2012-11-12,0.63,0.19,0.88
2012-11-13,0.63,0.18,0.3
2012-11-14,0.65,0.32,0.71
2012-11-15,0.6,0.19,0.63
2012-11-16,0.6,0.3,0.75
2012-11-17,0.61,0.2,0.24
2012-11-18,0.56,0.13,0.24
2012-11-19,0.63,0.58,1.3
2012-11-20,0.62,0.22,0.54
2012-11-21,0.65,0.23,0.46
2012-11-22,0.6,0.41,0.47
2012-11-23,0.57,0.43,0.49
2012-11-24,0.56,0.23,0.22
2012-11-25,0.65,0.31,0.1
2012-11-26,0.64,0.17,0.63
2012-11-27,0.64,0.27,1.29
2012-11-28,0.7,0.29,1.53
2012-11-29,0.58,0.19,0.61
2012-11-30,0.56,0.21,0.73
2012-12-01,0.6,0.23,0.44
2012-12-02,0.55,0.2,0.11
2012-12-03,0.58,0.6,0.51
2012-12-04,0.6,0.26,0.29
2012-12-05,0.61,0.21,0.4
2012-12-06,0.62,0.26,0.55
2012-12-07,0.61,0.21,0.53
2012-12-08,0.57,0.18,0.27
2012-12-09,0.58,0.26,0.22
2012-12-10,0.59,0.29,0.61
2012-12-11,0.62,0.31,0.15
2012-12-12,0.6,0.53,0.67
2012-12-13,0.46,0.29,0.26
2012-12-14,0.57,0.22,0.37
2012-12-15,0.58,0.26,0.3
2012-12-16,0.62,0.62,0.13
2012-12-17,0.65,0.25,0.12
2012-12-18,0.61,0.21,0.31
2012-12-19,0.64,0.25,0.69
2012-12-20,0.6,0.19,0.3
2012-12-21,0.55,0.22,0.36
2012-12-22,0.56,0.21,0.39
2012-12-23,0.58,0.34,0.32
2012-12-24,0.64,0.13,0.37
2012-12-25,0.6,0.2,0.41
2012-12-26,0.61,0.57,0.37
2012-12-27,0.56,0.17,0.18
2012-12-28,0.56,0.18,0.22
2012-12-29,0.56,0.26,0.55
2012-12-30,0.6,0.21,1.02
2012-12-31,0.59,0.09,0.09
2013-01-01,0.59,0.62,0.6
2013-01-02,0.58,0.19,0.32
2013-01-03,0.58,0.21,0.28
2013-01-04,0.55,0.17,0.24
2013-01-05,0.56,0.18,0.54
2013-01-06,0.55,0.22,0.26
2013-01-07,0.59,0.25,0.65
2013-01-08,0.56,0.17,0.12
2013-01-09,0.57,0.18,0.25
2013-01-10,0.56,0.44,0.65
2013-01-11,0.54,0.2,0.76
2013-01-12,0.52,0.22,0.39
2013-01-13,0.56,0.15,0.12
2013-01-14,0.58,0.36,0.42
2013-01-15,0.55,0.25,0.31
2013-01-16,0.52,0.18,0.49
2013-01-17,0.53,0.6,0.75
2013-01-18,0.52,0.19,0.44
2013-01-19,0.54,0.25,0.14
2013-01-20,0.52,0.16,0.14
2013-01-21,0.52,0.6,0.31
2013-01-22,0.51,0.22,0.28
2013-01-23,0.38,0.14,0.22
